Country Name,2017
United States,3.98E+13
China,1.72E+13
Japan,5.78E+12
"Korea, Rep.",2.01E+12
"Hong Kong SAR, China",1.95E+12
Germany,1.56E+12
Canada,1.28E+12
India,1.19E+12
Switzerland,9.48E+11
Australia,8.09E+11
,
,
,
,
,
,
,
,
,
,
